* target 600.0
* sigma 50.0
* threshold 0.3
* n_confs 20
* max_score 1.99
* population_size 20
* mating_pool_size 20
* generations 50
* mutation_rate 0.05
* average_size/size_stdev 50.0 5.0
* initial pool ZINC_1000_600.smi
* prune population True
* number of tries 40
* number of CPUs 40
* seeds 445330,819179,629085,203661,980892,786319,994415,608434,983515,363343,76867,772009,871841,485224,559405,367299,331104,602517,402131,425600,882199,281228,867136,859075,588845,588635,204100,755473,929463,293656,240001,487092,357435,859848,400422,241546,999657,43958,619092,450435,206734,640302,413058,554052,601388,565447,370830,636623,857859,453628,856610,980949,56174,543022,873630,489142,660070,613681,521315,417278,218949,132242,483540,484438,471326,973419,374356,643351,68412,979352,779999,192238,413692,127036,330870,302133,363049,24665,705146,786335
* 
run,score,smiles,generations,representation,prune
0,2.00,CN1C2=CC=C(NC3=CC=CC3)C2N=C1c1nc(C2=CC=CC2)cs1,13,Graph,True
1,1.96,CNC(=O)CN1C=CC(C)C(/C=C(\C#N)C(=O)CC#N)=C1,50,Graph,True
2,2.00,CC1NC(=O)C(C(=O)NC=O)=C1C(=O)NNC1=CC=CC1Cl,24,Graph,True
3,2.00,CNCN/C(=C\c1ccc(OC)o1)C(=O)C1=CC=C([C@H](C2=CC([C@H](C3=CC=CCO3)[NH+]3CCCC3)=CCC2)[NH+]2C=CCC2)C1,42,Graph,True
4,2.00,CC1=C(C)N=C(NC(=O)C2=C(C(=O)On3cccc3)N=CC=[SH]2)[SH]=N1,11,Graph,True
5,2.00,N#CC(=O)C=CC(=O)C1=CC=C2C(=[SH]1)CC1=C2C=C(NC(=O)C(=O)NNC(=O)C2=CC=C(c3cccs3)C2)C1,30,Graph,True
6,1.99,N#CC1=c2c(Nc3cccc4c3=C(C3=NN=CCO3)CC=4)cccc2=CC1,19,Graph,True
7,2.00,CC1=c2c(nnn2CC(=O)N(CC(=O)NO)C2=CC3=C(C2)[SH]=CC=N3)=C(n2nnc3c2=CCCC=3)C1C(C)(C)C,22,Graph,True
8,1.99,CC=Cc1cc(C2=CC3=NN=C(c4noc(-c5noc(-c6cn([O-])c7ccc8c(c7c6=O)CCCC8)n5)n4)CN3c3c(C)cc(C)cc32)n[nH]1,34,Graph,True
9,2.00,O=C(NC1=c2ccccc2=[NH+][C@@H]1C(=O)NC(=O)NC1CCC1)Nc1cccc2c1=CCCC=2,14,Graph,True
10,1.99,O=C(n1nnc2c1=CCOC=2)n1nnc2cocc21,18,Graph,True
11,2.00,O=C(C1=CC=C(C2=CC(O)=CCN2)C1)C1=CC(O)=CCN1,19,Graph,True
12,2.00,SC1C=c2c(Oc3ncnc4c3=CC(Br)C=4C=CBr)ncnc2=C1c1ncnc2c1=CC(Br)C=2Br,12,Graph,True
13,1.99,Cc1cc(Cl)cc(Cl)c1CNCNC(=O)C1=CC=C(N2C=CC=CC2)[SH]=N1,10,Graph,True
14,2.00,CCc1nn(Cc2nn(-c3nn(C)c4c3=NOCC=4)c3c2=CCCC=3)c2c1=CCCC=2,24,Graph,True
