* target O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N
* population_size 100
* mating_pool_size 200
* generations 1000
* mutation_rate 0.5
* max_score 1.0
* average_size/size_stdev 26 5
* initial pool Celecoxib_guacamol_10K.smi
* number of tries 40
* number of CPUs 40
* seeds 708427,715566,560108,74703,660993,227441,59730,616272,937336,123722,146991,903758,729676,540966,157314,485622,922108,476733,621438,639709,270651,408039,270994,994676,473018,682389,597788,272101,475913,237744,887235,858391,109846,431420,395664,597384,176911,845558,107015,5262,793384,715925,617897,161458,268449,777429,401328,366987,617928,126934,895508,348154,334038,591969,623488,696210,909667,642103,984793,784016,967456,649334,104677,796383,233321,758653,540972,865472,537787,345908,899677,766307,893384,527142,886756,36871,358133,102645,771471,84275
*
run,score,smiles,generations,representation,prune
0,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,116,Graph,True
1,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,83,Graph,True
2,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,73,Graph,True
3,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,36,Graph,True
4,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,70,Graph,True
5,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,67,Graph,True
6,0.78,CC1=CC=C(C2=NN(C3=CC=C(S(N)(=O)=O)C=C3)C(C(F)(F)F)=C2)C=C1,1000,Graph,True
7,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,156,Graph,True
8,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,14,Graph,True
9,0.78,CC1=CC=C(C2=CC(F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,1000,Graph,True
10,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,90,Graph,True
11,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,161,Graph,True
12,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,90,Graph,True
13,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,27,Graph,True
14,0.73,CC1=CC=C(C2=C(C(F)(F)F)N(C3=CC=C(S(N)(=O)=O)C=C3)N=C2)C=C1,1000,Graph,True
15,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,118,Graph,True
16,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,66,Graph,True
17,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,114,Graph,True
18,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,123,Graph,True
19,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,275,Graph,True
20,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,124,Graph,True
21,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,138,Graph,True
22,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,144,Graph,True
23,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,101,Graph,True
24,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,391,Graph,True
25,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,72,Graph,True
26,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,129,Graph,True
27,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,123,Graph,True
28,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,183,Graph,True
29,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,165,Graph,True
30,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,360,Graph,True
31,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,94,Graph,True
32,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,26,Graph,True
33,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,59,Graph,True
34,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,54,Graph,True
35,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,60,Graph,True
36,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,171,Graph,True
37,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,59,Graph,True
38,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,131,Graph,True
39,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,63,Graph,True
