* target O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N
* population_size 100
* mating_pool_size 200
* generations 1000
* mutation_rate 0.5
* max_score 1.0
* average_size/size_stdev 26 5
* initial pool Celecoxib_guacamol.smi
* number of tries 40
* number of CPUs 40
* seeds 292273,265159,488673,691749,189596,788857,205492,759771,662354,440728,434104,210744,417552,83662,664596,241028,988480,428771,683690,437684,407988,552643,758333,896914,577897,199397,238000,33648,529259,701025,386823,356831,582599,494661,147065,482413,230312,465713,43465,222209,511071,898796,166363,537150,36016,216948,251577,278942,672742,577198,666657,688213,536781,800532,461288,448681,716284,356077,176497,368873,184299,814747,36010,802931,595442,448240,878806,237617,708065,421508,79234,653682,470375,893865,6967,83152,861700,607069,894088,306197
*
run,score,smiles,generations,representation,prune
0,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,80,Graph,True
1,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,857,Graph,True
2,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,294,Graph,True
3,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,106,Graph,True
4,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,48,Graph,True
5,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,80,Graph,True
6,0.78,CC1=CC=C(C2=NN(C3=CC=C(S(N)(=O)=O)C=C3)C(C(F)(F)F)=C2)C=C1,1000,Graph,True
7,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,777,Graph,True
8,0.78,CC1=CC=C(C2=NN(C3=CC=C(S(N)(=O)=O)C=C3)C(C(F)(F)F)=C2)C=C1,1000,Graph,True
9,0.65,CC1=CC=C(C2=C(C3=CC=C(S(N)(=O)=O)C=C3)C=NC(C(F)(F)F)=C2)C=C1,1000,Graph,True
10,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,57,Graph,True
11,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,48,Graph,True
12,1.00,Cc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,64,Graph,True
13,1.00,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,69,Graph,True
