* target O=S(=O)(N(C)C)c2cc1C(\c3c(Sc1cc2)cccc3)=C/CCN4CCN(C)CC4
* population_size 100
* mating_pool_size 200
* generations 1000
* mutation_rate 0.5
* max_score 1.0
* average_size/size_stdev 30 5
* initial pool Tiotixene_guacamol_10K.smi
* number of tries 40
* number of CPUs 40
* seeds 977288,107817,948189,496096,79178,80943,845975,435408,156211,823862,165143,666613,854900,693919,853560,779577,191355,240788,665475,998236,563904,869178,250104,40100,335635,198302,877159,561257,81475,370979,539144,938910,138615,49995,251586,35080,290457,898162,853005,759293,140476,298543,868897,722990,90161,916097,628053,927414,607033,561127,263376,459992,687074,792442,544901,97954,247057,676821,689461,803769,327183,718510,804521,707353,164843,54878,942112,183666,299023,799191,904257,992113,205628,848434,939786,270362,264534,346374,349663,950450
*
run,score,smiles,generations,representation,prune
0,0.61,CC1=CC=C(S(=O)(=O)N(C)N=CCCN2CCN(C)CC2)C=C1C1=C(C)C=CC=C1,1000,Graph,True
1,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,965,Graph,True
2,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,303,Graph,True
3,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2N=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,True
4,0.67,CC1=C(C2=CC=CC=C2C=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,True
5,0.67,CC1=C(C2=CC=CC=C2C=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,True
6,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,220,Graph,True
7,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,257,Graph,True
8,0.67,CC1=CC=C(S(=O)(=O)N(C)C)C=C1C1=CC=CC=C1C=CCCN1CCN(C)CC1,1000,Graph,True
9,0.61,CN1CCN(CCS(=O)(=O)C2=CC3=C(C=C2)SC2=C(C=CC=C2)C(=O)N3C)CC1,1000,Graph,True
10,0.70,CC1=C(S(=O)(=O)N(C)C)C(=CCCN2CCN(C)CC2)C2=C(C=CC=C2)S1,1000,Graph,True
11,0.60,CC1=CC=C(S(=O)(=O)N=CCCN2CCN(C)CC2)C=C1C1=C(S(=O)(=O)N(C)C)C=CC=C1,1000,Graph,True
12,0.67,CC1=C(C2=CC=CC=C2C=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,True
13,0.61,CC1=C(C2=C(C)C=CC(S(=O)(=O)N(C)C=CCCN3CCN(C)CC3)=C2)C=CC=C1,1000,Graph,True
14,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,498,Graph,True
15,0.67,CC1=CC=CC=C1C1=CC(S(=O)(=O)N(C)C)=CC=C1N=CCCN1CCN(C)CC1,1000,Graph,True
16,0.67,CN1CCN(CCC=CC2=CC=C(S(=O)(=O)N(C)C)C=C2C2=C(S)C=CC=C2)CC1,1000,Graph,True
17,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2C=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,True
18,0.62,CC1=CC=CC=C1C1=C(S)C=CC(S(=O)(=O)N(C)N2CC2=CCCN2CCN(C)CC2)=C1,1000,Graph,True
19,0.68,CC1=C(C2=C(C)SC3=C(C=CC=C3)C2=CCCN2CCN(C)CC2)C=C(S(C)(=O)=O)C=C1,1000,Graph,True
20,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,287,Graph,True
