* target O=S(=O)(N(C)C)c2cc1C(\c3c(Sc1cc2)cccc3)=C/CCN4CCN(C)CC4
* population_size 100
* mating_pool_size 200
* generations 1000
* mutation_rate 0.5
* max_score 1.0
* average_size/size_stdev 30 5
* initial pool Tiotixene_guacamol.smi
* number of tries 40
* number of CPUs 40
* seeds 265794,985522,997939,170216,566728,547781,596976,212790,954367,164321,251085,501734,814021,496496,117301,5322,593774,68770,121291,843928,808722,947170,882476,639421,519395,772510,876585,76999,888222,5552,513013,46448,6451,568080,664819,748417,883005,581162,356337,860789,159630,959347,195327,820274,51001,751734,503227,278551,420231,450615,868600,652348,525000,935925,285207,165383,552831,489888,463686,443669,899304,202900,482937,317274,927396,42819,409406,95138,461792,664763,691514,911807,432617,345384,917042,996506,591845,361354,269380,63221
*
run,score,smiles,generations,representation,prune
0,0.73,CC1=CC=C(S(=O)(=O)N(C)C)C=C1C1=C(C)C(=CCCN2CCN(C)CC2)SC2=C1C=CC=C2,1000,Graph,True
1,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,91,Graph,True
2,0.73,CN1CCN(CCC=CN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
3,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2C=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,True
4,0.73,CN1CCN(CCC=CN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
5,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,437,Graph,True
6,0.67,CN1CCN(CCC=CC2=CC=C(S(=O)(=O)N(C)C)C=C2C2=C(N)C=CC=C2)CC1,1000,Graph,True
7,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,172,Graph,True
8,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2N=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,True
9,0.72,CN1CCN(CCN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
10,0.73,CN1CCN(CCC=CN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
11,0.67,CC1=C(C2=CC=CC=C2N=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,True
12,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,702,Graph,True
13,0.67,CN1CCN(CCC=CC2=CC=CC=C2C2=CC(S(=O)(=O)N(C)C)=CC=C2Cl)CC1,1000,Graph,True
14,0.67,CC1=C(C2=CC=CC=C2N=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,True
15,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,308,Graph,True
16,0.67,CN1CCN(CCC=CC2=CC=C(S(=O)(=O)N(C)C)C=C2C2=CC=CC=C2Cl)CC1,1000,Graph,True
17,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,155,Graph,True
18,0.67,CC1=CC=CC=C1C1=CC(S(=O)(=O)N(C)C)=CC=C1C=CCCN1CCN(C)CC1,1000,Graph,True
19,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,208,Graph,True
20,0.67,CN1CCN(CCC=CC2=CC=CC=C2C2=CC(S(=O)(=O)N(C)C)=CC=C2Cl)CC1,1000,Graph,True
21,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,249,Graph,True
22,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2C=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,True
23,0.67,CC1=CC=C(S(=O)(=O)N(C)C)C=C1C1=CC=CC=C1N=CCCN1CCN(C)CC1,1000,Graph,True
24,0.73,CN1CCN(CCC=CN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
25,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2C=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,True
26,0.67,CC1=C(C2=CC=CC=C2C=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,True
27,0.72,CN1CCN(CCN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
28,0.72,CN1CCN(CCN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
29,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,143,Graph,True
30,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,63,Graph,True
31,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,147,Graph,True
32,0.67,CC1=CC=CC=C1C1=CC(S(=O)(=O)N(C)C)=CC=C1N=CCCN1CCN(C)CC1,1000,Graph,True
33,0.70,CC1=C(S(=O)(=O)N(C)C)SC2=C(C=CC=C2)C1=CCCN1CCN(C)CC1,1000,Graph,True
34,0.73,CN1CCN(CCC=CN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
35,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,113,Graph,True
36,0.73,CN1CCN(CCC=CN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,True
37,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,183,Graph,True
38,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,294,Graph,True
39,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,91,Graph,True
0,0.72,CN1CCN(CCN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,False
1,0.70,CC1=C(C2=C(S)C3=CC(S(=O)(=O)N(C)C)=CC=C3C2=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,False
2,0.67,CN1CCN(CCC=CC2=CC=C(S(=O)(=O)N(C)C)C=C2C2=C(Cl)C=CC=C2)CC1,1000,Graph,False
3,0.59,CN1CCN(CCC2=CC3=C(C=C2)SC2=C(C=CC=C2)C(=O)N3N(C)C)CC1,1000,Graph,False
4,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2C=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,False
5,0.67,CC1=C(C2=CC=CC=C2N=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,False
6,0.67,CC1=C(C2=CC=CC=C2C=CCCN2CCN(C)CC2)C=C(S(=O)(=O)N(C)C)C=C1,1000,Graph,False
7,0.72,CN1CCN(CCN2C(=O)C3=C(C=CC=C3)SC3=C2C=C(S(=O)(=O)N(C)C)C=C3)CC1,1000,Graph,False
8,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,251,Graph,False
9,0.72,CC1=C(C2=CC3=C(C=C(S(=O)(=O)N(C)C)C=C3)C2=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,False
10,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2C=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,False
11,0.67,CN1CCN(CCC=CC2=CC=C(S(=O)(=O)N(C)C)C=C2C2=C(F)C=CC=C2)CC1,1000,Graph,False
12,0.72,CN1CCN(CCN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,False
13,0.88,CN1CCN(CC=C2C3=CC=CC=C3SC3=C2C=C(S(=O)(=O)N(C)C)C=C3)CC1,1000,Graph,False
14,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,342,Graph,False
15,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,224,Graph,False
16,0.67,CN1CCN(CCC=CC2=CC=CC=C2C2=CC(S(=O)(=O)N(C)C)=CC=C2N)CC1,1000,Graph,False
17,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,96,Graph,False
18,1.00,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,741,Graph,False
19,0.70,CC1=C(S(=O)(=O)N(C)C)C(=CCCN2CCN(C)CC2)C2=C(C=CC=C2)S1,1000,Graph,False
20,0.72,CN1CCN(CCN2C(=O)C3=C(C=CC=C3)SC3=CC=C(S(=O)(=O)N(C)C)C=C32)CC1,1000,Graph,False
21,0.67,CC1=C(C2=CC(S(=O)(=O)N(C)C)=CC=C2C=CCCN2CCN(C)CC2)C=CC=C1,1000,Graph,False
