* target O=C1NC(=O)SC1Cc4ccc(OCC3(Oc2c(c(c(O)c(c2CC3)C)C)C)C)cc4
* population_size 100
* mating_pool_size 200
* generations 1000
* mutation_rate 0.5
* max_score 1.0
* average_size/size_stdev 31 5
* initial pool Troglitazone_guacamol_10K.smi
* number of tries 40
* number of CPUs 40
* seeds 836688,156738,715201,935836,306756,927728,663064,544673,49095,267934,815793,232140,53444,354816,570759,473511,419908,955002,661208,555022,584760,758622,413803,748197,447097,785622,754866,798427,552534,173876,641958,402644,675916,942487,431400,893921,382731,72292,32576,347786,462672,835207,689988,888731,753185,485863,110133,8431,189860,116318,775438,106256,805989,197601,882991,245835,713712,735353,206311,335364,372762,454438,474739,47882,231358,533111,441184,855523,747129,295829,205495,327053,187119,219567,243593,951687,367349,361433,111784,46817
*
run,score,smiles,generations,representation,prune
0,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,226,Graph,True
1,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,550,Graph,True
2,0.80,CC1=C(C)C2=C(CCC(C)(COO)O2)C(C)=C1COC1=CC=C(CC2SC(=O)NC2=O)C=C1,1000,Graph,True
3,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,308,Graph,True
4,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,193,Graph,True
5,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,369,Graph,True
6,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,778,Graph,True
7,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,600,Graph,True
8,0.80,CC1=C(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)C(C)=C2CCC(C)(COO)OC2=C1C,1000,Graph,True
9,0.80,CC1=C(C)C2=C(CCC(C)(COO)O2)C(C)=C1COC1=CC=C(CC2SC(=O)NC2=O)C=C1,1000,Graph,True
10,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,147,Graph,True
11,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,131,Graph,True
12,0.80,CC1=C(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)C(C)=C2CCC(C)(COO)OC2=C1C,1000,Graph,True
13,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,556,Graph,True
14,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,14,Graph,True
15,0.80,CC1=C(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)C(C)=C2CCC(C)(COO)OC2=C1C,1000,Graph,True
16,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,78,Graph,True
17,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,754,Graph,True
18,0.80,CC1=C(C)C2=C(CCC(C)(COO)O2)C(C)=C1COC1=CC=C(CC2SC(=O)NC2=O)C=C1,1000,Graph,True
19,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,460,Graph,True
20,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,129,Graph,True
21,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,768,Graph,True
22,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,355,Graph,True
23,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,585,Graph,True
24,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,92,Graph,True
25,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,562,Graph,True
26,0.72,CC1=C(C)C(C2=C(O)OC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)CC2)=C(C)O1,1000,Graph,True
27,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,317,Graph,True
28,0.80,COCC1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2COC1=CC=C(CC2SC(=O)NC2=O)C=C1,1000,Graph,True
