* target O=C1NC(=O)SC1Cc4ccc(OCC3(Oc2c(c(c(O)c(c2CC3)C)C)C)C)cc4
* population_size 100
* mating_pool_size 200
* generations 1000
* mutation_rate 0.5
* max_score 1.0
* average_size/size_stdev 31 5
* initial pool Troglitazone_guacamol.smi
* number of tries 40
* number of CPUs 40
* seeds 426496,110347,585709,696681,212127,543263,873325,96163,71596,653183,743123,78397,185764,239975,957584,930969,255597,508347,998406,952908,533074,551013,709454,199314,898326,270814,898038,216042,524776,798363,836190,973026,845294,620071,466122,484790,484682,581018,191010,298214,200447,308671,440528,616825,64635,701091,791276,877863,669180,777004,62528,786829,182214,171157,214361,574788,887034,184081,303167,27324,301504,462089,247964,996179,735503,199965,687029,778179,925673,802873,232541,208929,618589,372491,110305,720617,236264,779741,169579,250277
*
run,score,smiles,generations,representation,prune
0,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,13,Graph,True
1,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,134,Graph,True
2,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,165,Graph,True
3,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,229,Graph,True
4,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,79,Graph,True
5,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,69,Graph,True
6,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,59,Graph,True
7,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,70,Graph,True
8,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,64,Graph,True
9,1.00,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,159,Graph,True
