* RDKit version 2019.03.3
* target <rdkit.Chem.rdchem.Mol object at 0x7f44a9e9ad00>
* population_size 100
* mating_pool_size 200
* generations 1000
* mutation_rate 0.5
* max_score 1.0
* average_size/size_stdev 31 5
* initial pool Troglitazone_guacamol.smi
* number of tries 40
* number of CPUs 40
* seeds 431182,889180,476559,507089,783610,241224,571473,264822,427835,30321,94284,938020,575862,838759,361205,834637,350631,108496,217690,230205,673798,630804,485345,962372,269021,483580,691538,835721,258760,327414,792646,572748,697002,939615,869813,264893,367110,62973,989726,496982,80193,213193,616151,501585,25930,866921,205630,849872,819269,356520,3355,780089,145015,12710,527004,804441,358003,559137,236587,982742,235455,223561,18380,806329,363455,237358,622041,598289,62792,696336,674078,61843,183285,194482,143011,17488,454142,86621,749479,268578,707309,955509,643891,571899,109088,904484,318395,270597,885585,448440,675271,960309,524555,978905,912425,128389,129166,295396,424822,998921,286508,770608,304956,230778,345258,256286,824698,623118,949009,622699,709056,13315,560729,176776,832875,55855,943372,367946,493974,445428,49009,705499,106109,912160,695668,132961,579629,532486,449675,93582,921645,213095,541541,546281,889497,287903,860749,438233,217500,90240,515444,189599,564553,363793,447944,411462,386518,340357,369494,994762,396444,514522,636276,765769,446052,139971,547015,407009,974499,908781,211905,87699,342621,478935,448912,988951,588483,744463,858495,740034,149957,648024,276492,882040,277670,365594,537038,453058,357794,851691,195891,497835,297896,122593,728551,459827,490047,949389,106085,507184,869055,359388,273016,157869,666411,640712,283864,952972,333527,593007,840337,864411,719128,165743,448935,196706,328212,717325,613472,54655,603308,58915,983608,920121,692697,782387,613699,277542,722334,597381,539661,293931,982889,705911,573906,108345,770376,57711,845500,959779,797730,349590,19915,371747,371763,626981,959299,635093,693154,848584
* 
run,score,smiles,generations,representation,prune
0,0.59,CC1(COC2=CC=C(CC3S/C(=O)NC3=O)C=C2)CCO1,1000,SMILES,True
1,0.67,C1=[C@H]C(C2=C(O)C(C)=C(C)C3=C2CCC(COC)(C)O3)=CC(C[C@@H]2SC(=O)NC2=O)=C1,1000,SMILES,True
2,0.67,C-COC1=CC=C(CC2SC(=O)NOC3=C(C)C(C)=C(O)C(C)=C3\CCNC2=O)C=C1,1000,SMILES,True
3,0.68,CC1=C(COC2=CC=C(C[C@H]3SC(=O)NC3=O)C=C2)N=C(C)C2=C1CCC(CC)(C)O2,1000,SMILES,True
4,0.80,CC1=C(C)C2=C(CCC(C)(C[O@]C)O2)C(C-OC2=CC=C(C[C@H]3SC(=O)NC3=O)C=C2)=C1O,1000,SMILES,True
5,0.80,C1=C(-OCC2=C(O)C(C)=C(C)C3=C2CCC(COC)(C)O3)C=CC(C[C@@H]2SC(=O)NC2=O)=C1,1000,SMILES,True
6,0.73,CC1(COC2=CC=C(CC3SC(=O)NC3=O)C=[C@@H]2)OC(C)=C(C)C(C)=C(O)CC1,1000,SMILES,True
7,0.68,OC1=C(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C2OC(C)(C(\O\C))CCC2=C1C,1000,SMILES,True
8,0.80,CC1=C(O)C(C)=C(COC2=CC=C(C[C@@H]3SC(=O)NC3=O)C=C2)C2=C1CCC(COC)(C)O2,1000,SMILES,True
9,0.69,CC1=C(C/OC2=CC=C(C[C@H]3SC(=O)NC3=O)C=C2)C=C(C)C2=C1/CCC(COO)(C)O2,1000,SMILES,True
10,0.73,CC1=C(O)C(C)=C(C)CCC(C)(\COC2=CC=C(CC3SC(=O)NC3=O)C=C2)O-1,1000,SMILES,True
